,Background_volume,Background_voxels,Left-Accumbens-area_volume,Left-Accumbens-area_voxels,Left-Amygdala_volume,Left-Amygdala_voxels,Left-Caudate_volume,Left-Caudate_voxels,Left-Hippocampus_volume,Left-Hippocampus_voxels,Left-Pallidum_volume,Left-Pallidum_voxels,Left-Putamen_volume,Left-Putamen_voxels,Left-Thalamus-Proper_volume,Left-Thalamus-Proper_voxels,Right-Accumbens-area_volume,Right-Accumbens-area_voxels,Right-Amygdala_volume,Right-Amygdala_voxels,Right-Caudate_volume,Right-Caudate_voxels,Right-Hippocampus_volume,Right-Hippocampus_voxels,Right-Pallidum_volume,Right-Pallidum_voxels,Right-Putamen_volume,Right-Putamen_voxels,Right-Thalamus-Proper_volume,Right-Thalamus-Proper_voxels,csf_volume,csf_voxels,gray_volume,gray_voxels,white_volume,white_voxels
AnnArbor_sub16960,9706083.98569,8088403.0,278.400011063,232.0,729.600028992,608.0,4034.40016031,3362.0,3700.80014706,3084.0,1741.20006919,1451.0,5760.00022888,4800.0,8209.2003262,6841.0,181.2000072,151.0,730.800029039,609.0,3836.40015244,3197.0,2328.00009251,1940.0,1786.800071,1489.0,4704.00018692,3920.0,7652.40030408,6377.0,194682.0,162235.0,592744.8125,493954.0,462877.21875,385731.0
AnnArbor_sub20317,10042005.229,7172861.0,701.399988055,501.0,1049.99998212,750.0,4391.79992521,3137.0,2528.39995694,1806.0,2108.39996409,1506.0,5731.59990239,4094.0,9426.19983947,6733.0,562.799990416,402.0,876.399985075,626.0,4283.99992704,3060.0,3014.19994867,2153.0,1797.59996939,1284.0,4957.39991558,3541.0,9108.39984488,6506.0,210193.203125,150138.0,538648.5625,384749.0,503116.59375,359369.0
AnnArbor_sub38614,9673078.63527,6909342.0,481.599991798,344.0,1222.19997919,873.0,4370.79992557,3122.0,3739.39993632,2671.0,1917.99996734,1370.0,5994.79989791,4282.0,8993.59984684,6424.0,517.999991179,370.0,827.399985909,591.0,4314.79992652,3082.0,3936.79993296,2812.0,1950.19996679,1393.0,5352.19990885,3823.0,8843.79984939,6317.0,197926.390625,141376.0,705527.1875,503948.0,585361.0,418115.0
AnnArbor_sub46727,9678824.23517,6913446.0,419.999992847,300.0,943.599983931,674.0,4236.39992785,3026.0,2868.59995115,2049.0,1509.1999743,1078.0,3597.99993873,2570.0,8881.59984875,6344.0,471.799991965,337.0,1185.79997981,847.0,3337.59994316,2384.0,3597.99993873,2570.0,1636.59997213,1169.0,5559.39990532,3971.0,8471.39985573,6051.0,179020.796875,127872.0,656320.0,468800.0,524316.8125,374512.0
AnnArbor_sub49687,9679739.83516,6914100.0,452.199992299,323.0,757.399987102,541.0,3236.79994488,2312.0,2895.1999507,2068.0,1723.39997065,1231.0,5286.39990997,3776.0,8649.19985271,6178.0,362.599993825,259.0,772.799986839,552.0,3981.59993219,2844.0,3334.79994321,2382.0,1490.99997461,1065.0,4425.39992464,3161.0,8433.59985638,6024.0,172100.59375,122929.0,619707.1875,442648.0,509927.59375,364234.0
AnnArbor_sub82334,9674617.23524,6910441.0,491.399991632,351.0,872.199985147,623.0,4727.79991949,3377.0,3336.19994318,2383.0,1849.3999685,1321.0,4878.99991691,3485.0,8983.79984701,6417.0,424.199992776,303.0,887.599984884,634.0,4582.19992197,3273.0,4034.79993129,2882.0,1982.39996624,1416.0,5160.39991212,3686.0,8713.59985161,6224.0,206451.0,147465.0,629571.5625,449694.0,544128.1875,388663.0
AnnArbor_sub86367,9680768.83514,6914835.0,622.99998939,445.0,754.599987149,539.0,3700.19993699,2643.0,3091.19994736,2208.0,1544.1999737,1103.0,3652.5999378,2609.0,8177.39986074,5841.0,375.19999361,268.0,1227.79997909,877.0,4016.5999316,2869.0,3018.3999486,2156.0,1796.19996941,1283.0,4754.39991903,3396.0,8041.59986305,5744.0,167393.796875,119567.0,663213.5625,473724.0,505079.40625,360771.0
AnnArbor_sub87745,10235646.2257,7311176.0,519.399991155,371.0,1104.59998119,789.0,3840.1999346,2743.0,2643.19995499,1888.0,884.799984932,632.0,3194.79994559,2282.0,9402.39983988,6716.0,358.399993896,256.0,670.59998858,479.0,2610.99995553,1865.0,2923.19995022,2088.0,1237.59997892,884.0,3001.59994888,2144.0,8006.59986365,5719.0,155489.59375,111064.0,746452.0,533180.0,565773.5625,404124.0
AnnArbor_sub96621,9681229.43513,6915164.0,418.599992871,299.0,1076.59998167,769.0,3453.79994118,2467.0,3264.7999444,2332.0,1545.59997368,1104.0,4838.3999176,3456.0,7876.39986587,5626.0,281.399995208,201.0,1217.99997926,870.0,3257.79994452,2327.0,3581.19993901,2558.0,1581.99997306,1130.0,4461.79992402,3187.0,7456.39987302,5326.0,191373.0,136695.0,550128.5625,392949.0,459030.59375,327879.0
NewYork_sub20732,11474588.0,11474588.0,740.0,740.0,1296.0,1296.0,5219.0,5219.0,4510.0,4510.0,2222.0,2222.0,6381.0,6381.0,9645.0,9645.0,617.0,617.0,1110.0,1110.0,5603.0,5603.0,4548.0,4548.0,2211.0,2211.0,6486.0,6486.0,9160.0,9160.0,199809.0,199809.0,864151.0,864151.0,600279.0,600279.0
